"wordId","word","topicId","dov","dovDelta","composition","dod","dodDelta","numDocs"
"W8884","latino","T17","0.061653026400062746","-0.06362196676878337","0.2636003886988152","0.006887364150848901","-0.09826543272653748","6"
"W8885","turning","T81","0.08601427398721477","-0.07401593749683462","0.3677580385032506","0.004591576100565933","-0.14846900672143393","4"
"W8886","gigantically","T23","0.009697687434511293","NaN","0.041462914742076494","0.0011478940251414833","NaN","1"
"W8887","unparalleled","T23","0.1887533171558796","-0.13458266049050058","0.8070236073671473","0.004591576100565933","-0.1194888253066288","4"
"W8888","maneuver","T7","0.09678746285064231","0.133364383651263","0.4138193097456037","0.010331046226273349","0.05418322103091299","9"
"W8889","reprot","T17","0.013254713239634086","NaN","0.05667114440395615","0.0011478940251414833","NaN","1"
"W8890","saint","T28","0.020814105718183932","-0.09843961150506374","0.0889916793723841","0.0034436820754244505","-0.10270547769392678","3"
"W8891","mythical","T77","0.059126845713921856","0.29141068411230286","0.2527995854021663","0.004591576100565933","0.31195963308755814","4"
"W8892","multiracial","T17","0.013254713239634086","NaN","0.05667114440395615","0.0011478940251414833","NaN","1"
"W8893","waiter","T23","0.009697687434511293","NaN","0.041462914742076494","0.0011478940251414833","NaN","1"
"W8894","facet","T38","0.025517600298274393","-0.11544653354876748","0.10910168973115139","0.004591576100565933","-0.00541095538785355","4"
"W8895","bef","T17","0.013254713239634086","NaN","0.05667114440395615","0.0011478940251414833","NaN","1"
"W8896","dip","T52","0.40066169936250995","0.3006377553093109","1.7130477748709179","0.014922622326839285","0.026534100325753242","13"
"W8897","multi-layer","T17","0.013254713239634086","NaN","0.05667114440395615","0.0011478940251414833","NaN","1"
"W8898","non-linear","T38","0.010670174886848058","NaN","0.04562083018287358","0.0011478940251414833","NaN","1"
"W8899","globalness","T5","0.00586290616792778","NaN","0.02506712865548594","0.0011478940251414833","NaN","1"
"W8900","creature","T7","0.08877774788923756","-0.118312559789317","0.37957340000724804","0.004591576100565933","-0.10270547769392678","4"
"W8901","colorism","T17","0.013254713239634086","NaN","0.05667114440395615","0.0011478940251414833","NaN","1"
"W8902","emt","T84","0.028981015428399603","-0.2","0.12390968258785623","0.0022957880502829666","-0.2","2"
"W8903","romantic","T63","0.024157299774441095","0.09120113111882797","0.10328566142294017","0.0034436820754244505","-0.10270547769392678","3"
"W8904","midnight","T18","0.03805856100763113","-0.2","0.16272115191605463","0.004591576100565933","-0.2","4"
"W8905","crazed","T49","0.010670174886848058","NaN","0.04562083018287358","0.0011478940251414833","NaN","1"
"W8906","pre-dawn","T38","0.010670174886848058","NaN","0.04562083018287358","0.0011478940251414833","NaN","1"
"W8907","storytelling","T25","0.08751231136216199","0.12207160445229076","0.3741629671398283","0.011478940251414835","0.2061694369290876","10"
"W8908","shedding","T23","0.009697687434511293","NaN","0.041462914742076494","0.0011478940251414833","NaN","1"
"W8909","storyteller","T17","0.0690874617307088","0.6371251105664324","0.2953866635557541","0.004591576100565933","0.041533524080113675","4"
"W8910","unpublished","T38","0.010670174886848058","NaN","0.04562083018287358","0.0011478940251414833","NaN","1"
"W8911","catholic","T62","0.12213409211677029","0.09209242198598003","0.5221900048579737","0.0057394701257074176","-0.09693801344286783","5"
"W8912","pedestal","T79","0.08493447037241833","-0.2","0.3631412878066711","0.0034436820754244505","-0.2","3"
"W8913","breeder","T31","0.013254713239634086","NaN","0.05667114440395615","0.0011478940251414833","NaN","1"
"W8914","honesty","T78","0.16976984689851127","0.11725815422367689","0.7258588952535242","0.006887364150848901","-0.13961661897997157","6"
"W8915","protagonist","T38","0.03881453384330069","-0.2","0.16595334901916453","0.0022957880502829666","-0.2","2"
"W8916","tradition","T38","0.13042773283862144","0.35777895251677716","0.557649852422019","0.0057394701257074176","0.33208742676090097","5"
"W8917","taller","T79","0.09873575629675833","-0.020151690183046453","0.4221493292058489","0.0034436820754244505","0.08617150705379326","3"
"W8918","composer","T80","0.011534023856308355","-0.2","0.04931425672529832","0.0022957880502829666","-0.2","2"
"W8919","merkin","T23","0.009697687434511293","NaN","0.041462914742076494","0.0011478940251414833","NaN","1"
"W8920","messenger","T80","0.038600576769021185","0.6114561151211683","0.16503856557319116","0.0057394701257074176","0.1666826817471645","5"
"W8921","trinity","T17","0.013254713239634086","NaN","0.05667114440395615","0.0011478940251414833","NaN","1"
"W8922","franchise","T25","0.017678583767289143","-0.11157390461564001","0.07558560909018475","0.0022957880502829666","-0.11948882530662878","2"
"W8923","pray","T79","0.02529717670898181","NaN","0.10815925839876422","0.0011478940251414833","NaN","1"
"W8924","squirt","T1","0.024879468546892176","-0.2","0.10637332767778046","0.0034436820754244505","-0.2","3"
"W8925","ritual","T17","0.03549555914939814","-0.11084877792662196","0.15176291798148636","0.004591576100565933","-0.00541095538785355","4"
"W8926","synth","T71","0.05396529340451989","-0.2","0.2307311278666212","0.004591576100565933","-0.2","4"
"W8927","readership","T80","0.010344338495165573","NaN","0.0442277014994188","0.0011478940251414833","NaN","1"
"W8928","parenthood","T6","0.005315634748816686","-0.2","0.02272724418873915","0.0022957880502829666","-0.2","2"
"W8929","skit","T91","0.013531673333736463","NaN","0.057855300198445626","0.0022957880502829666","NaN","2"
"W8930","cosplay","T84","0.03716646798695667","0.02611906839114186","0.158906966615898","0.0034436820754244505","0.08617150705379326","3"
"W8931","jumping","T17","0.035920651078972514","NaN","0.1535804183445897","0.0034436820754244505","NaN","3"
"W8932","medic","T80","0.010344338495165573","NaN","0.0442277014994188","0.0011478940251414833","NaN","1"
"W8933","kitty","T41","0.04605877480333052","-0.2","0.19692643897748321","0.0022957880502829666","-0.2","2"
"W8934","post-it","T97","0.010069599222042461","-0.17562254839318753","0.043053040928563054","0.0022957880502829666","-0.11948882530662878","2"
"W8935","drawer","T70","0.1205162094272122","-0.12834892196212802","0.5152726719914696","0.0057394701257074176","-0.09693801344286783","5"
"W8936","rabbi","T84","0.08475663166828784","-0.003464922581626764","0.36238093013614403","0.004591576100565933","-0.11948882530662878","4"
"W8937","spiritual","T80","0.010344338495165573","NaN","0.0442277014994188","0.0011478940251414833","NaN","1"
"W8938","serotonin","T80","0.010620490714321175","-0.2","0.045408403186909405","0.0022957880502829666","-0.2","2"
"W8939","foreword","T38","0.23068177331949183","0.05059363926181357","0.9862906764409561","0.009183152201131866","0.18917808922429288","8"
"W8940","multitask","T17","0.019428319149679154","-0.2","0.08306668429199522","0.0022957880502829666","-0.2","2"
"W8941","anti-blackness","T38","0.010670174886848058","NaN","0.04562083018287358","0.0011478940251414833","NaN","1"
"W8942","hodgepodge","T7","0.01954623332122955","NaN","0.08357083182973478","0.0011478940251414833","NaN","1"
"W8943","patriarchy","T38","0.042479950544738534","-0.2","0.1816250090115305","0.0034436820754244505","-0.2","3"
"W8944","monster","T38","0.2082588007092072","-0.11379871028965997","0.8904202116644225","0.009183152201131866","-0.054058216540890144","8"
"W8945","prayer","T61","0.07622284451396477","-0.1731224397485814","0.3258943253041998","0.0022957880502829666","-0.11948882530662878","2"
"W8946","shit","T4","0.18077883589609237","0.5117229707289112","0.7729283409626875","0.012626834276556318","0.2970132549962317","11"
"W8947","cricket","T19","0.002604423032064323","NaN","0.011135332094380425","0.0011478940251414833","NaN","1"
"W8948","meticulously","T38","0.03881453384330069","-0.2","0.16595334901916453","0.0022957880502829666","-0.2","2"
"W8949","unpeel","T80","0.010344338495165573","NaN","0.0442277014994188","0.0011478940251414833","NaN","1"
"W8950","ballad","T23","0.009697687434511293","NaN","0.041462914742076494","0.0011478940251414833","NaN","1"
"W8951","selling","T25","0.36659172535098034","0.13574746010850292","1.567380012608584","0.009183152201131866","0.04492237989216161","8"
"W8952","gal","T23","0.07651607160426611","0.15029117026750868","0.32714803139932147","0.0034436820754244505","-0.1597444126533144","3"
"W8953","shaper","T17","0.013254713239634086","NaN","0.05667114440395615","0.0011478940251414833","NaN","1"
"W8954","fandom","T79","0.12941155594440962","0.29591762981494085","0.55330514073564","0.0057394701257074176","0.551166288236885","5"
