,wordId,word,topicId,dov,dovDelta,composition,dod,dodDelta,numDocs,score
1051,W1051,icing,T20,0.0021595311839433,0.3067978441079586,0.2325867445148467,0.0229039621673772,0.0071920161991605,4,1.48
1054,W1054,infamous,T19,0.0015340296456902,-0.0525573774459713,0.1842419073497834,0.0182450860055507,-0.1116026231017027,3,1.46
1069,W1069,bookkeeping,T7,0.0040317185888907,-0.183679177849616,0.2154299931939045,0.0124560249188956,-0.0232052462034053,2,1.46
1074,W1074,typing,T55,0.0082018617699404,0.8903407878683236,0.5094137723267446,0.0419715573342068,0.1767660409340616,7,1.55
1076,W1076,dsl,T62,0.0021237618010479,0.0142157512063115,0.2463469333597702,0.0229039621673772,0.0071920161991605,4,1.48
1078,W1078,wrangle,T62,0.0037902180885043,3.785395187945851,0.2255871937967635,0.0369496118245238,0.3897530030281427,6,1.52
1081,W1081,shorthand,T71,0.0051801279340151,0.1509880150890722,0.5923439901392467,0.0286930232540322,-0.0196337280340232,5,1.5
1090,W1090,equip,T20,0.0103186661850447,-0.0525642800703428,0.961326893063358,0.0861852125353591,-0.0349081384909174,13,1.68
1103,W1103,mountain,T2,0.004782000021814,1.753405244984649,0.3117745037649492,0.0723649924951035,0.2846718287015412,12,1.62
1105,W1105,jar,T19,0.0080650543385162,0.1159808930527612,0.8209633108359479,0.0341744085771376,0.0313777123660956,6,1.52
1112,W1112,dropdown,T72,0.0036537050154798,-0.1494957371107651,0.3121550838023122,0.043157135843342,-0.1116026231017027,7,1.54
1115,W1115,dictionary,T22,0.0071151912571668,0.0682482558434637,0.7847731994004181,0.0582639492536501,0.0544964877661245,10,1.58
1119,W1119,cooperate,T53,0.0111762816642299,-0.1603133696174962,0.6979268973216692,0.0439796450046209,-0.067403934652554,7,1.56
1128,W1128,ness,T69,0.0029344406840335,-0.1931873742748168,0.1822677444343123,0.0248566562534845,-0.1558013115508513,4,1.49
1130,W1130,curly,T22,0.0047044692270981,-0.0097433817106281,0.6329737612065415,0.0598125971106418,0.0209934422457432,10,1.58
1151,W1151,sync,T71,0.0100987253092833,0.0669684922261278,0.8329374350260713,0.0804462772604848,-0.0653812608939926,14,1.65
1164,W1164,perf,T9,0.0041198909632436,0.0798594157965717,0.3440505505617042,0.0455002485712048,0.0008449992997569752,8,1.54
1169,W1169,corrupt,T37,0.0055564374271047,0.3354454662272802,0.6141355616992544,0.0725663856252098,0.2037166592106229,12,1.62
1172,W1172,assembler,T45,0.0057305987884964,0.2973809204551239,0.5300798477438031,0.0700082521798805,0.1670795608313569,12,1.61
1182,W1182,pub,T69,0.0012515820186164,-0.1561831805884869,0.0799268964102543,0.0183004795898574,0.1535895075931892,3,1.46
1184,W1184,tribute,T19,0.0013764895111613,-0.038331557393016,0.1118504126237824,0.0178820166576942,0.0838268294017842,3,1.46
1191,W1191,subsidy,T4,0.0020610478430932,0.3374433183462466,0.1245029528876987,0.0112704464097604,-0.0580865852991078,2,1.45
1194,W1194,fable,T47,0.0007669429311763719,0.0954211463057519,0.100973712218959,0.0171149010807222,0.0303107915991894,3,1.46
1197,W1197,pupil,T64,0.0075519315195244,-0.1162334312211884,0.6817237656529687,0.0256282763656269,-0.0232052462034054,4,1.5
1201,W1201,plat,T89,0.0028657099914865,-0.1737624161886476,0.1647398774488141,0.0256791654147634,-0.1410684154011351,4,1.49
1202,W1202,tighten,T54,0.0046011236095789,-0.1529979875264058,0.3733297846069271,0.0314682265014184,-0.1705342077005675,5,1.51
1204,W1204,comp,T71,0.0063240771146482,-0.1775940979156875,0.3539174322903999,0.0322907356626973,-0.1558013115508513,5,1.52
1205,W1205,procedural,T28,0.0053540129134935,0.1159443032048137,0.448810391966193,0.0399080760794858,-0.0696233978884935,7,1.53
1213,W1213,chocolate,T69,0.0055842588215621,0.7811578370262814,0.4073081048122952,0.0295155324153111,0.0723351670336561,5,1.51
1214,W1214,dojo,T53,0.0090315548169551,-0.1845718493440772,0.6299880737533817,0.0248566562534845,-0.1558013115508513,4,1.51
1215,W1215,supercomputer,T60,0.0089058166171259,0.1002694151316335,0.7659637553854111,0.0877240880846544,0.0332791389989747,15,1.67
1219,W1219,dotnet,T69,0.0135930180238635,0.4412209610442901,0.912483736018802,0.0994539743078373,0.10023592632992,17,1.71
1233,W1233,inhabit,T20,0.0015030509023121,-0.0054681965418492,0.1430871253188722,0.0124560249188956,-0.0232052462034053,2,1.45
1235,W1235,beautifully,T54,0.0060324890920696,-0.1891373606968881,0.5674200427138045,0.0488908033456902,-0.1410684154011351,8,1.56
